explored  time (s)  solution           fval        gap (%)                                         
 5840032    820.01         1   1.000000e+01   9.999000e-03                                          
 5850032    821.36         1   1.000000e+01   9.999000e-03                                          
 5860032    822.70         1   1.000000e+01   9.999000e-03                                          
 5870032    824.16         1   1.000000e+01   9.999000e-03                                          
 5880032    825.57         1   1.000000e+01   9.999000e-03                                          
 5890032    827.09         1   1.000000e+01   9.999000e-03                                          
 5900032    828.55         1   1.000000e+01   9.999000e-03                                          
 5910032    830.36         1   1.000000e+01   9.999000e-03                                          
 5920032    831.69         1   1.000000e+01   9.999000e-03                                          
 5930032    833.00         1   1.000000e+01   9.999000e-03                                          
 5940032    834.28         1   1.000000e+01   9.999000e-03                                          
 5950032    835.53         1   1.000000e+01   9.999000e-03                                          
 5960032    836.90         1   1.000000e+01   9.999000e-03                                          
 5970032    838.21         1   1.000000e+01   9.999000e-03                                          
 5980032    839.52         1   1.000000e+01   9.999000e-03                                          
 5990032    840.80         1   1.000000e+01   9.999000e-03                                          
   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
 6000032    842.11         1   1.000000e+01   9.999000e-03                                          
 6010032    843.39         1   1.000000e+01   9.999000e-03                                          
 6020032    844.64         1   1.000000e+01   9.999000e-03                                          
 6030032    845.85         1   1.000000e+01   9.999000e-03                                          
 6040032    847.06         1   1.000000e+01   9.999000e-03                                          
 6050032    848.51         1   1.000000e+01   9.999000e-03                                          
 6060032    849.93         1   1.000000e+01   9.999000e-03                                          
 6070032    851.36         1   1.000000e+01   9.999000e-03                                          
 6080032    852.83         1   1.000000e+01   9.999000e-03                                          
 6090032    854.58         1   1.000000e+01   9.999000e-03                                          
 6100032    856.03         1   1.000000e+01   9.999000e-03                                          
 6110032    857.51         1   1.000000e+01   9.999000e-03                                          
 6120032    858.99         1   1.000000e+01   9.999000e-03                                          
 6130032    860.52         1   1.000000e+01   9.999000e-03                                          
 6140032    862.03         1   1.000000e+01   9.999000e-03                                          
 6150032    863.67         1   1.000000e+01   9.999000e-03                                          
 6160032    864.96         1   1.000000e+01   9.999000e-03                                          
 6170032    866.21         1   1.000000e+01   9.999000e-03                                          
 6180032    867.41         1   1.000000e+01   9.999000e-03                                          
 6190032    868.90         1   1.000000e+01   9.999000e-03                                          
 6200032    870.19         1   1.000000e+01   9.999000e-03                                          
 6210032    871.47         1   1.000000e+01   9.999000e-03                                          
 6220032    872.76         1   1.000000e+01   9.999000e-03                                          
 6230032    874.06         1   1.000000e+01   9.999000e-03                                          
 6240032    875.32         1   1.000000e+01   9.999000e-03                                          
 6250032    876.57         1   1.000000e+01   9.999000e-03                                          
 6260032    877.76         1   1.000000e+01   9.999000e-03                                          
 6270032    879.13         1   1.000000e+01   9.999000e-03                                          
 6280032    880.46         1   1.000000e+01   9.999000e-03                                          
 6290032    881.83         1   1.000000e+01   9.999000e-03                                          
 6300032    883.20         1   1.000000e+01   9.999000e-03                                          
 6310032    884.62         1   1.000000e+01   9.999000e-03                                          
 6320032    886.02         1   1.000000e+01   9.999000e-03                                          
 6330032    887.48         1   1.000000e+01   9.999000e-03                                          
 6340032    888.94         1   1.000000e+01   9.999000e-03                                          
 6350032    890.69         1   1.000000e+01   9.999000e-03                                          
 6360032    892.03         1   1.000000e+01   9.999000e-03                                          
 6370032    893.34         1   1.000000e+01   9.999000e-03                                          
 6380032    894.64         1   1.000000e+01   9.999000e-03                                          
 6390032    895.89         1   1.000000e+01   9.999000e-03                                          
 6400032    897.10         1   1.000000e+01   9.999000e-03                                          
 6410032    898.27         1   1.000000e+01   9.999000e-03                                          
 6420032    899.75         1   1.000000e+01   9.999000e-03                                          
 6430032    901.10         1   1.000000e+01   9.999000e-03                                          
 6440032    902.44         1   1.000000e+01   9.999000e-03                                          
 6450032    903.78         1   1.000000e+01   9.999000e-03                                          
 6460032    905.12         1   1.000000e+01   9.999000e-03                                          
 6470032    906.45         1   1.000000e+01   9.999000e-03                                          
 6480032    907.74         1   1.000000e+01   9.999000e-03                                          
 6490032    909.03         1   1.000000e+01   9.999000e-03                                          
 6500032    910.30         1   1.000000e+01   9.999000e-03                                          
 6510032    911.53         1   1.000000e+01   9.999000e-03                                          
 6520032    912.75         1   1.000000e+01   9.999000e-03                                          
 6530032    913.95         1   1.000000e+01   9.999000e-03                                          
 6540032    915.46         1   1.000000e+01   9.999000e-03                                          
 6550032    916.90         1   1.000000e+01   9.999000e-03                                          
 6560032    918.41         1   1.000000e+01   9.999000e-03                                          
 6570032    920.17         1   1.000000e+01   9.999000e-03                                          
 6580032    921.70         1   1.000000e+01   9.999000e-03                                          
 6590032    923.23         1   1.000000e+01   9.999000e-03                                          
   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
 6600032    924.79         1   1.000000e+01   9.999000e-03                                          
 6610032    926.55         1   1.000000e+01   9.999000e-03                                          
 6620032    927.85         1   1.000000e+01   9.999000e-03                                          
 6630032    929.13         1   1.000000e+01   9.999000e-03                                          
 6640032    930.35         1   1.000000e+01   9.999000e-03                                          
 6650032    931.62         1   1.000000e+01   9.999000e-03                                          
 6660032    933.01         1   1.000000e+01   9.999000e-03                                          
 6670032    934.34         1   1.000000e+01   9.999000e-03                                          
 6680032    935.68         1   1.000000e+01   9.999000e-03                                          
 6690032    937.02         1   1.000000e+01   9.999000e-03                                          
 6700032    938.33         1   1.000000e+01   9.999000e-03                                          
 6710032    939.61         1   1.000000e+01   9.999000e-03                                          
 6720032    940.88         1   1.000000e+01   9.999000e-03                                          
 6730032    942.12         1   1.000000e+01   9.999000e-03                                          
 6740032    943.34         1   1.000000e+01   9.999000e-03                                          
 6750032    944.56         1   1.000000e+01   9.999000e-03                                          
 6760032    945.93         1   1.000000e+01   9.999000e-03                                          
 6770032    947.22         1   1.000000e+01   9.999000e-03                                          
 6780032    948.61         1   1.000000e+01   9.999000e-03                                          
 6790032    949.98         1   1.000000e+01   9.999000e-03                                          
 6800032    951.45         1   1.000000e+01   9.999000e-03                                          
 6810032    952.93         1   1.000000e+01   9.999000e-03                                          
 6820032    954.43         1   1.000000e+01   9.999000e-03                                          
 6830032    955.93         1   1.000000e+01   9.999000e-03                                          
 6840032    957.57         1   1.000000e+01   9.999000e-03                                          
 6850032    958.85         1   1.000000e+01   9.999000e-03                                          
 6860032    960.08         1   1.000000e+01   9.999000e-03                                          
 6870032    961.28         1   1.000000e+01   9.999000e-03                                          
 6880032    962.59         1   1.000000e+01   9.999000e-03                                          
 6890032    963.93         1   1.000000e+01   9.999000e-03                                          
 6900032    965.26         1   1.000000e+01   9.999000e-03                                          
 6910032    966.57         1   1.000000e+01   9.999000e-03                                          
 6920032    967.88         1   1.000000e+01   9.999000e-03                                          
 6930032    969.19         1   1.000000e+01   9.999000e-03                                          
 6940032    970.47         1   1.000000e+01   9.999000e-03                                          
 6950032    971.72         1   1.000000e+01   9.999000e-03                                          
 6960032    972.96         1   1.000000e+01   9.999000e-03                                          
 6970032    974.18         1   1.000000e+01   9.999000e-03                                          
 6980032    975.40         1   1.000000e+01   9.999000e-03                                          
 6990032    976.60         1   1.000000e+01   9.999000e-03                                          
 7000032    978.00         1   1.000000e+01   9.999000e-03                                          
 7010032    979.41         1   1.000000e+01   9.999000e-03                                          
 7020032    980.89         1   1.000000e+01   9.999000e-03                                          
 7030032    982.35         1   1.000000e+01   9.999000e-03                                          
 7040032    984.15         1   1.000000e+01   9.999000e-03                                          
 7050032    985.69         1   1.000000e+01   9.999000e-03                                          
 7060032    987.28         1   1.000000e+01   9.999000e-03                                          
 7070032    988.83         1   1.000000e+01   9.999000e-03                                          
 7080032    990.45         1   1.000000e+01   9.999000e-03                                          
 7090032    991.75         1   1.000000e+01   9.999000e-03                                          
 7100032    992.98         1   1.000000e+01   9.999000e-03                                          
 7110032    994.20         1   1.000000e+01   9.999000e-03                                          
 7120032    995.55         1   1.000000e+01   9.999000e-03                                          
 7130032    996.96         1   1.000000e+01   9.999000e-03                                          
 7140032    998.30         1   1.000000e+01   9.999000e-03                                          
 7150032    999.62         1   1.000000e+01   9.999000e-03                                          
 7160032   1001.03         1   1.000000e+01   9.999000e-03                                          
 7170032   1002.40         1   1.000000e+01   9.999000e-03                                          
 7180032   1003.68         1   1.000000e+01   9.999000e-03                                          
 7190032   1004.94         1   1.000000e+01   9.999000e-03                                          
   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
 7200032   1006.18         1   1.000000e+01   9.999000e-03                                          
 7210032   1007.41         1   1.000000e+01   9.999000e-03                                          
 7220032   1008.63         1   1.000000e+01   9.999000e-03                                          
 7230032   1009.97         1   1.000000e+01   9.999000e-03                                          
 7240032   1011.23         1   1.000000e+01   9.999000e-03                                          
 7250032   1012.53         1   1.000000e+01   9.999000e-03                                          
 7260032   1013.91         1   1.000000e+01   9.999000e-03                                          
 7270032   1015.33         1   1.000000e+01   9.999000e-03                                          
 7280032   1016.78         1   1.000000e+01   9.999000e-03                                          
