LP:                Optimal objective value is 1.968750.                                             

Branch and Bound:

   nodes     total   num int        integer       relative                                          
  380032     55.44         1   1.000000e+01   9.999000e-03                                          
  390032     56.92         1   1.000000e+01   9.999000e-03                                          
  400032     58.38         1   1.000000e+01   9.999000e-03                                          
  410032     59.92         1   1.000000e+01   9.999000e-03                                          
  420032     61.68         1   1.000000e+01   9.999000e-03                                          
  430032     62.99         1   1.000000e+01   9.999000e-03                                          
  440032     64.29         1   1.000000e+01   9.999000e-03                                          
  450032     65.52         1   1.000000e+01   9.999000e-03                                          
  460032     66.72         1   1.000000e+01   9.999000e-03                                          
  470032     68.06         1   1.000000e+01   9.999000e-03                                          
  480032     69.45         1   1.000000e+01   9.999000e-03                                          
  490032     70.84         1   1.000000e+01   9.999000e-03                                          
  500032     72.20         1   1.000000e+01   9.999000e-03                                          
  510032     73.57         1   1.000000e+01   9.999000e-03                                          
  520032     74.91         1   1.000000e+01   9.999000e-03                                          
  530032     76.25         1   1.000000e+01   9.999000e-03                                          
  540032     77.56         1   1.000000e+01   9.999000e-03                                          
  550032     78.84         1   1.000000e+01   9.999000e-03                                          
  560032     80.11         1   1.000000e+01   9.999000e-03                                          
  570032     81.35         1   1.000000e+01   9.999000e-03                                          
  580032     82.59         1   1.000000e+01   9.999000e-03                                          
  590032     83.79         1   1.000000e+01   9.999000e-03                                          
   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
  600032     85.01         1   1.000000e+01   9.999000e-03                                          
  610032     86.44         1   1.000000e+01   9.999000e-03                                          
  620032     87.83         1   1.000000e+01   9.999000e-03                                          
  630032     89.34         1   1.000000e+01   9.999000e-03                                          
  640032     91.21         1   1.000000e+01   9.999000e-03                                          
  650032     92.79         1   1.000000e+01   9.999000e-03                                          
  660032     94.37         1   1.000000e+01   9.999000e-03                                          
  670032     95.91         1   1.000000e+01   9.999000e-03                                          
  680032     97.58         1   1.000000e+01   9.999000e-03                                          
  690032     98.87         1   1.000000e+01   9.999000e-03                                          
  700032    100.12         1   1.000000e+01   9.999000e-03                                          
  710032    101.35         1   1.000000e+01   9.999000e-03                                          
  720032    102.54         1   1.000000e+01   9.999000e-03                                          
  730032    104.05         1   1.000000e+01   9.999000e-03                                          
  740032    105.46         1   1.000000e+01   9.999000e-03                                          
  750032    106.83         1   1.000000e+01   9.999000e-03                                          
  760032    108.15         1   1.000000e+01   9.999000e-03                                          
  770032    109.48         1   1.000000e+01   9.999000e-03                                          
  780032    110.71         1   1.000000e+01   9.999000e-03                                          
  790032    111.96         1   1.000000e+01   9.999000e-03                                          
  800032    113.16         1   1.000000e+01   9.999000e-03                                          
  810032    114.38         1   1.000000e+01   9.999000e-03                                          
  820032    115.86         1   1.000000e+01   9.999000e-03                                          
  830032    117.20         1   1.000000e+01   9.999000e-03                                          
  840032    118.59         1   1.000000e+01   9.999000e-03                                          
  850032    120.04         1   1.000000e+01   9.999000e-03                                          
  860032    121.52         1   1.000000e+01   9.999000e-03                                          
  870032    123.04         1   1.000000e+01   9.999000e-03                                          
  880032    124.52         1   1.000000e+01   9.999000e-03                                          
  890032    126.05         1   1.000000e+01   9.999000e-03                                          
  900032    127.51         1   1.000000e+01   9.999000e-03                                          
  910032    128.95         1   1.000000e+01   9.999000e-03                                          
  920032    130.40         1   1.000000e+01   9.999000e-03                                          
  930032    131.82         1   1.000000e+01   9.999000e-03                                          
  940032    133.22         1   1.000000e+01   9.999000e-03                                          
  950032    134.63         1   1.000000e+01   9.999000e-03                                          
  960032    136.02         1   1.000000e+01   9.999000e-03                                          
  970032    137.37         1   1.000000e+01   9.999000e-03                                          
  980032    138.70         1   1.000000e+01   9.999000e-03                                          
  990032    140.03         1   1.000000e+01   9.999000e-03                                          
 1000032    141.32         1   1.000000e+01   9.999000e-03                                          
 1010032    142.60         1   1.000000e+01   9.999000e-03                                          
 1020032    143.86         1   1.000000e+01   9.999000e-03                                          
 1030032    145.11         1   1.000000e+01   9.999000e-03                                          
 1040032    146.33         1   1.000000e+01   9.999000e-03                                          
 1050032    147.81         1   1.000000e+01   9.999000e-03                                          
 1060032    149.26         1   1.000000e+01   9.999000e-03                                          
 1070032    150.77         1   1.000000e+01   9.999000e-03                                          
 1080032    152.60         1   1.000000e+01   9.999000e-03                                          
 1090032    154.14         1   1.000000e+01   9.999000e-03                                          
 1100032    155.70         1   1.000000e+01   9.999000e-03                                          
 1110032    157.40         1   1.000000e+01   9.999000e-03                                          
 1120032    158.71         1   1.000000e+01   9.999000e-03                                          
 1130032    159.96         1   1.000000e+01   9.999000e-03                                          
 1140032    161.18         1   1.000000e+01   9.999000e-03                                          
 1150032    162.47         1   1.000000e+01   9.999000e-03                                          
 1160032    163.86         1   1.000000e+01   9.999000e-03                                          
 1170032    165.20         1   1.000000e+01   9.999000e-03                                          
 1180032    166.51         1   1.000000e+01   9.999000e-03                                          
 1190032    167.81         1   1.000000e+01   9.999000e-03                                          
   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
 1200032    169.09         1   1.000000e+01   9.999000e-03                                          
